Rank;Rating;Title;Year;votes;seen
148;81;The Grapes of Wrath ;1940;42227;0
149;81;The Wizard of Oz ;1939;192425;0
150;81;Platoon ;1986;202044;0
151;81;Sin City ;2005;459794;0
152;81;Butch Cassidy and the Sundance Kid ;1969;102995;0
153;81;Kill Bill: Vol. 1 ;2003;470244;0
154;81;The Thing ;1982;175041;0
155;81;Trainspotting ;1996;312510;0
156;81;Gone with the Wind ;1939;148410;0
157;81;High Noon ;1952;56791;0
158;81;Annie Hall ;1977;127072;0
159;81;Hotel Rwanda ;2004;180270;0
160;81;The Hunt ;2012;39033;0
161;81;Warrior ;2011;190877;0
162;81;The Secret in Their Eyes ;2009;73505;0
163;81;Finding Nemo ;2003;406678;1
164;81;My Neighbor Totoro ;1988;88095;0
165;81;V for Vendetta ;2005;507750;1
166;81;Notorious ;1946;52582;0
167;81;Dial M for Murder ;1954;65745;0
168;81;The Avengers ;2012;568037;1
169;81;How to Train Your Dragon ;2010;249971;0
170;81;Life of Brian ;1979;183277;0
171;81;Into the Wild ;2007;263344;1
172;81;The Best Years of Our Lives ;1946;27843;0
173;81;Network ;1976;69929;0
174;81;The Terminator ;1984;378300;0
175;81;Million Dollar Baby ;2004;303571;0
176;81;There Will Be Blood ;2007;252241;0
177;81;Ben-Hur ;1959;106455;0
178;81;The Night of the Hunter ;1955;44437;0
179;81;The Big Sleep ;1946;47119;0
180;81;The King's Speech ;2010;288159;1
181;81;Stand by Me ;1986;182230;0
182;81;The 400 Blows ;1959;46028;0
183;81;Twelve Monkeys ;1995;316945;0
184;81;Groundhog Day ;1993;282250;0
185;8;Donnie Darko ;2001;398128;0
186;8;Dog Day Afternoon ;1975;126624;0
187;8;Amores Perros ;2000;120868;0
188;8;Howl's Moving Castle ;2004;121059;0
189;8;Mary and Max ;2009;67759;0
190;8;Gandhi ;1982;110584;0
191;8;The Bourne Ultimatum ;2007;322172;1
192;8;A Beautiful Mind ;2001;344294;1
193;8;Persona ;1966;36479;0
194;8;The Killing ;1956;44571;0
195;8;The Graduate ;1967;149389;0
196;8;Rush ;2013;28676;0
197;8;Black Swan ;2010;373745;1
198;8;The Princess Bride ;1987;207589;1
199;8;Who's Afraid of Virginia Woolf? ;1966;38192;0
200;8;The Hustler ;1961;43710;0
201;8;The Man Who Shot Liberty Valance ;1962;39917;0
202;8;La Strada ;1954;32409;0
203;8;Anatomy of a Murder ;1959;32242;0
204;8;8½ ;1963;54451;1
205;8;The Manchurian Candidate ;1962;53501;0
206;8;Rocky ;1976;220323;1
207;8;The Exorcist ;1973;213984;0
208;8;Slumdog Millionaire ;2008;425904;1
209;8;In the Name of the Father ;1993;65291;0
210;8;Stalag 17 ;1953;33518;0
211;8;Rope ;1948;66041;0
212;8;The Wild Bunch ;1969;51331;0
213;8;Barry Lyndon ;1975;69583;0
214;8;Monsters, Inc. ;2001;328336;1
215;8;Fanny and Alexander ;1982;27430;0
216;8;Infernal Affairs ;2002;63858;0
217;8;The Truman Show ;1998;407875;1
218;8;Roman Holiday ;1953;63443;0
219;8;Life of Pi ;2012;246325;1
220;8;Pirates of the Caribbean: The Curse of the Black Pearl ;2003;519625;1
221;8;Memories of Murder ;2003;33873;0
222;8;All Quiet on the Western Front ;1930;38373;0
223;8;Harry Potter and the Deathly Hallows: Part 2 ;2011;303847;1
224;8;Sleuth ;1972;30643;0
225;8;Stalker ;1979;43524;0
226;8;Jurassic Park ;1993;344256;1
227;8;A Streetcar Named Desire ;1951;60767;0
228;8;Star Trek ;2009;362442;0
229;8;Ratatouille ;2007;316890;1
230;8;Ip Man ;2008;86593;0
231;8;A Fistful of Dollars ;1964;82374;0
232;8;The Diving Bell and the Butterfly ;2007;69702;0
233;8;The Hobbit: An Unexpected Journey ;2012;352517;0
234;8;District 9 ;2009;388592;0
235;8;Shutter Island ;2010;436151;0
236;8;Rain Man ;1988;276674;1
237;8;Incendies ;2010;36751;0
238;8;Rosemary's Baby ;1968;103929;0
239;8;La Haine ;1995;63865;0
240;8;3 Idiots ;2009;83178;0
241;8;The Artist ;2011;132672;1
242;8;Nausicaä of the Valley of the Wind ;1984;53307;0
243;79;Beauty and the Beast ;1991;189229;1
244;79;Three Colors: Red ;1994;43438;0
245;79;Bringing Up Baby ;1938;35695;0
246;79;Mystic River ;2003;256159;0
247;79;In the Heat of the Night ;1967;37081;0
248;79;Arsenic and Old Lace ;1944;45893;0
249;79;Before Sunrise ;1995;100974;0
250;79;Papillon ;1973;62517;0
